Team,Season,Player,Player_number,Position,Captain,Born,Birthplace,Age,Height,Weight,Stick,Player_link
Salavat Yulaev Ufa,2008-2009,Sergei Belov,31,G,,1982,"St. Petersburg, RUS",40,180,78,L,https://www.eliteprospects.com/player/19555/sergei-belov
Salavat Yulaev Ufa,2008-2009,Rafael Khakimov,31,G,,1990,"Ufa, RUS",33,180,78,L,https://www.eliteprospects.com/player/47547/rafael-khakimov
Salavat Yulaev Ufa,2008-2009,Vadim Tarasov,1,G,,1976,"Ust-Kamenogorsk, KAZ",46,183,84,L,https://www.eliteprospects.com/player/11990/vadim-tarasov
Salavat Yulaev Ufa,2008-2009,Alexander Yeryomenko,30,G,,1980,"Moskva, RUS",43,180,78,L,https://www.eliteprospects.com/player/12286/alexander-yeryomenko
Salavat Yulaev Ufa,2008-2009,Miroslav Blatak,23,D,,1982,"Zlin, CZE",41,180,78,L,https://www.eliteprospects.com/player/8421/miroslav-blatak
Salavat Yulaev Ufa,2008-2009,Mikhail Chernov,77,D,,1978,"Prokopyevsk, RUS",44,188,98,R,https://www.eliteprospects.com/player/18447/mikhail-chernov
Salavat Yulaev Ufa,2008-2009,Pavel Doronin,6,D,,1988,"Ufa, RUS",34,183,80,L,https://www.eliteprospects.com/player/15169/pavel-doronin
Salavat Yulaev Ufa,2008-2009,Sergei Klimentyev,33,D,,1975,"Havanna, CUB",48,190,90,L,https://www.eliteprospects.com/player/16737/sergei-klimentyev
Salavat Yulaev Ufa,2008-2009,Kirill Koltsov,4,D,,1983,"Chelyabinsk, RUS",40,178,90,L,https://www.eliteprospects.com/player/9567/kirill-koltsov
Salavat Yulaev Ufa,2008-2009,Yegor Kuptsov,14,D,,1989,"Omsk, RUS",34,188,92,L,https://www.eliteprospects.com/player/24193/yegor-kuptsov
Salavat Yulaev Ufa,2008-2009,Andrei Kuteikin,45,D,,1984,"Saratov, RUS",38,189,97,L,https://www.eliteprospects.com/player/17975/andrei-kuteikin
Salavat Yulaev Ufa,2008-2009,Steve McCarthy,20,D,,1981,"Trail, BC, CAN",42,185,95,L,https://www.eliteprospects.com/player/8568/steve-mccarthy
Salavat Yulaev Ufa,2008-2009,Vitali Proshkin,34,D,,1976,"Elektrostal, RUS",47,191,92,L,https://www.eliteprospects.com/player/12454/vitali-proshkin
Salavat Yulaev Ufa,2008-2009,Vyacheslav Seluyanov,44,D,,1986,"Ufa, RUS",36,176,93,R,https://www.eliteprospects.com/player/19400/vyacheslav-seluyanov
Salavat Yulaev Ufa,2008-2009,Igor Shchadilov,15,D,,1980,"Moskva, RUS",42,190,94,L,https://www.eliteprospects.com/player/18444/igor-shchadilov
Salavat Yulaev Ufa,2008-2009,Oleg Tverdovsky,70,D,,1976,"Donetsk, UKR",47,185,95,L,https://www.eliteprospects.com/player/8656/oleg-tverdovsky
Salavat Yulaev Ufa,2008-2009,Pavel Volodin,43,D,,1989,"Ufa, RUS",34,183,87,L,https://www.eliteprospects.com/player/24788/pavel-volodin
Salavat Yulaev Ufa,2008-2009,Dmitri Vorobyov,93,D,,1985,"Togliatti, RUS",37,188,108,L,https://www.eliteprospects.com/player/9603/dmitri-vorobyov
Salavat Yulaev Ufa,2008-2009,Vladimir Antipov,35,LW/RW,,1978,"Apatity, RUS",45,179,94,L,https://www.eliteprospects.com/player/14378/vladimir-antipov
Salavat Yulaev Ufa,2008-2009,Leos Cermak,52,C,,1978,"Trebic, CZE",45,189,100,R,https://www.eliteprospects.com/player/15131/leos-cermak
Salavat Yulaev Ufa,2008-2009,Yegor Dubrovsky,51,LW/C,,1989,"Ufa, RUS",34,183,97,L,https://www.eliteprospects.com/player/24789/yegor-dubrovsky
Salavat Yulaev Ufa,2008-2009,Artyom Gordeyev,9,C,,1988,"Ufa, RUS",34,187,95,L,https://www.eliteprospects.com/player/15178/artyom-gordeyev
Salavat Yulaev Ufa,2008-2009,Igor Grigorenko,21,RW/C,,1983,"Togliatti, RUS",40,179,97,L,https://www.eliteprospects.com/player/9566/igor-grigorenko
Salavat Yulaev Ufa,2008-2009,Konstantin Koltsov,28,LW/RW,,1981,"Minsk, BLR",42,183,101,L,https://www.eliteprospects.com/player/8679/konstantin-koltsov
Salavat Yulaev Ufa,2008-2009,Alexei Medvedev,58,C,,1982,"Penza, RUS",41,178,90,L,https://www.eliteprospects.com/player/18442/alexei-medvedev
Salavat Yulaev Ufa,2008-2009,Michal Mikeska,55,LW,,1976,"Zlin, CZE",47,191,96,L,https://www.eliteprospects.com/player/18441/michal-mikeska
Salavat Yulaev Ufa,2008-2009,Ruslan Nurtdinov,17,LW,,1980,"Ufa, RUS",43,176,84,R,https://www.eliteprospects.com/player/18446/ruslan-nurtdinov
Salavat Yulaev Ufa,2008-2009,Alexander Perezhogin,37,LW/RW,,1983,"Ust-Kamenogorsk, KAZ",39,182,100,L,https://www.eliteprospects.com/player/8669/alexander-perezhogin
Salavat Yulaev Ufa,2008-2009,Kirill Polozov,71,LW/RW,,1991,"Ufa, RUS",32,190,95,L,https://www.eliteprospects.com/player/19368/kirill-polozov
Salavat Yulaev Ufa,2008-2009,Alexander Radulov,47,RW,,1986,"Nizhny Tagil, RUS",36,186,93,L,https://www.eliteprospects.com/player/8794/alexander-radulov
Salavat Yulaev Ufa,2008-2009,Igor Radulov,97,LW,,1982,"Nizhny Tagil, RUS",40,185,88,L,https://www.eliteprospects.com/player/12250/igor-radulov
Salavat Yulaev Ufa,2008-2009,Alexei Shkotov,13,RW,,1984,"Elektrostal, RUS",38,178,83,L,https://www.eliteprospects.com/player/9577/alexei-shkotov
Salavat Yulaev Ufa,2008-2009,Andrei Sidyakin,7,RW,,1979,"Ufa, RUS",44,183,83,L,https://www.eliteprospects.com/player/18445/andrei-sidyakin
Salavat Yulaev Ufa,2008-2009,Andrei Taratukhin,22,C,,1983,"Omsk, RUS",40,187,101,L,https://www.eliteprospects.com/player/9569/andrei-taratukhin
Salavat Yulaev Ufa,2008-2009,Alexei Tereschenko,27,C,,1980,"Mozhaisk, RUS",42,177,84,L,https://www.eliteprospects.com/player/15025/alexei-tereschenko
Salavat Yulaev Ufa,2008-2009,Petr Vampola,24,C/LW,,1982,"Zdar nad Sazavou, CZE",41,185,91,L,https://www.eliteprospects.com/player/22788/petr-vampola
Salavat Yulaev Ufa,2008-2009,Vladimir Vorobyov,11,LW,,1972,"Cherepovets, RUS",50,190,93,R,https://www.eliteprospects.com/player/18435/vladimir-vorobyov
Salavat Yulaev Ufa,2008-2009,Dmitri Zyuzin,29,C,,1987,"Ufa, RUS",35,183,88,L,https://www.eliteprospects.com/player/10497/dmitri-zyuzin
Ak Bars Kazan,2008-2009,Wade Dubielewicz,31,G,,1979,"Invermere, BC, CAN",44,180,82,L,https://www.eliteprospects.com/player/10875/wade-dubielewicz
Ak Bars Kazan,2008-2009,Stanislav Galimov,20,G,,1988,"Chelyabinsk, RUS",35,190,88,L,https://www.eliteprospects.com/player/14586/stanislav-galimov
Ak Bars Kazan,2008-2009,Sergei Nikolayev,1,G,,1972,"Saratov, RUS",50,177,88,L,https://www.eliteprospects.com/player/14584/sergei-nikolayev
Ak Bars Kazan,2008-2009,Fredrik Norrena,33,G,,1973,"Pietarsaari, FIN",49,183,86,L,https://www.eliteprospects.com/player/559/fredrik-norrena
Ak Bars Kazan,2008-2009,Vyacheslav Buravchikov,59,D,,1987,"Moskva, RUS",36,187,92,L,https://www.eliteprospects.com/player/9261/vyacheslav-buravchikov
Ak Bars Kazan,2008-2009,Dmitri Kosmachyov,54,D,,1985,"Nizhny Novgorod, RUS",37,192,105,R,https://www.eliteprospects.com/player/9581/dmitri-kosmachyov
Ak Bars Kazan,2008-2009,Yevgeni Medvedev,82,D,,1982,"Chelyabinsk, RUS",40,189,87,L,https://www.eliteprospects.com/player/16728/yevgeni-medvedev
Ak Bars Kazan,2008-2009,Andrei Mukhachyov,8,D,,1980,"Yekaterinburg, RUS",42,192,95,L,https://www.eliteprospects.com/player/19387/andrei-mukhachyov
Ak Bars Kazan,2008-2009,Ilya Nikulin,5,D,,1982,"Moskva, RUS",41,190,96,L,https://www.eliteprospects.com/player/9558/ilya-nikulin
Ak Bars Kazan,2008-2009,Grigori Panin,75,D,,1985,"Karaganda, KAZ",37,183,83,L,https://www.eliteprospects.com/player/16730/grigori-panin
Ak Bars Kazan,2008-2009,Andrei Pervyshin,9,D,,1985,"Arkhangelsk, RUS",38,174,77,L,https://www.eliteprospects.com/player/12231/andrei-pervyshin
Ak Bars Kazan,2008-2009,Yakov Seleznyov,36,D,,1989,"Yelabuga, RUS",33,190,98,L,https://www.eliteprospects.com/player/11871/yakov-seleznyov
Ak Bars Kazan,2008-2009,Vasili Tokranov,24,D,,1989,"Almetievsk, RUS",33,184,95,L,https://www.eliteprospects.com/player/11872/vasili-tokranov
Ak Bars Kazan,2008-2009,Alexei Yemelin,74,D,,1986,"Togliatti, RUS",37,186,102,L,https://www.eliteprospects.com/player/9253/alexei-yemelin
Ak Bars Kazan,2008-2009,Nikita Alexeyev,81,RW/LW,,1981,"Murmansk, RUS",41,197,103,L,https://www.eliteprospects.com/player/10221/nikita-alexeyev
Ak Bars Kazan,2008-2009,Alexei Badyukov,57,C,,1978,"Moskva, RUS",45,184,93,R,https://www.eliteprospects.com/player/16741/alexei-badyukov
Ak Bars Kazan,2008-2009,Stanislav Bocharov,18,RW,,1991,"Khabarovsk, RUS",31,181,93,L,https://www.eliteprospects.com/player/22928/stanislav-bocharov
Ak Bars Kazan,2008-2009,Alexander Burmistrov,69,C,,1991,"Kazan, RUS",31,185,85,L,https://www.eliteprospects.com/player/22927/alexander-burmistrov
Ak Bars Kazan,2008-2009,Jukka Hentunen,55,RW,,1974,"Joroinen, FIN",49,178,90,R,https://www.eliteprospects.com/player/2709/jukka-hentunen
Ak Bars Kazan,2008-2009,Niko Kapanen,39,C,,1978,"Hämeenlinna, FIN",45,177,80,L,https://www.eliteprospects.com/player/2688/niko-kapanen
Ak Bars Kazan,2008-2009,Dmitri Kazionov,67,C/LW,,1984,"Perm, RUS",39,189,94,L,https://www.eliteprospects.com/player/12233/dmitri-kazionov
Ak Bars Kazan,2008-2009,Gleb Klimenko,83,LW/RW,,1983,"Khabarovsk, RUS",39,174,81,R,https://www.eliteprospects.com/player/19470/gleb-klimenko
Ak Bars Kazan,2008-2009,Andrei Kuzmin,58,LW,,1981,"Penza, RUS",42,180,95,L,https://www.eliteprospects.com/player/19218/andrei-kuzmin
Ak Bars Kazan,2008-2009,Alexei Morozov,95,RW,“C,1977,"Moskva, RUS",46,187,93,L,https://www.eliteprospects.com/player/11044/alexei-morozov
Ak Bars Kazan,2008-2009,Tony Mårtensson,86,C,,1980,"Märsta, SWE",42,184,84,L,https://www.eliteprospects.com/player/59/tony-martensson
Ak Bars Kazan,2008-2009,Dmitri Obukhov,34,RW,,1983,"Kazan, RUS",39,183,93,L,https://www.eliteprospects.com/player/19385/dmitri-obukhov
Ak Bars Kazan,2008-2009,Kirill Petrov,90,RW,,1990,"Kazan, RUS",33,191,106,L,https://www.eliteprospects.com/player/11870/kirill-petrov
Ak Bars Kazan,2008-2009,Oleg Petrov,14,LW,,1971,"Moskva, RUS",52,178,81,L,https://www.eliteprospects.com/player/10844/oleg-petrov
Ak Bars Kazan,2008-2009,Grigori Shafigulin,15,C,,1985,"Chelyabinsk, RUS",38,193,103,L,https://www.eliteprospects.com/player/9586/grigori-shafigulin
Ak Bars Kazan,2008-2009,Alexander Stepanov,30,RW,,1979,"Moskva, RUS",44,175,101,L,https://www.eliteprospects.com/player/16729/alexander-stepanov
Ak Bars Kazan,2008-2009,Danis Zaripov,25,RW,,1981,"Chelyabinsk, RUS",42,184,89,L,https://www.eliteprospects.com/player/11045/danis-zaripov
Ak Bars Kazan,2008-2009,Mikhail Zhukov,21,C/RW,,1985,"St. Petersburg, RUS",38,190,94,L,https://www.eliteprospects.com/player/849/mikhail-zhukov
Ak Bars Kazan,2008-2009,Sergei Zinovyev,42,C,,1980,"Prokopyevsk, RUS",43,180,80,L,https://www.eliteprospects.com/player/12285/sergei-zinovyev
Atlant Mytishchi,2008-2009,Ilya Andryukhov,97,G,,1990,"Barnaul, RUS",33,187,92,L,https://www.eliteprospects.com/player/77179/ilya-andryukhov
Atlant Mytishchi,2008-2009,Ray Emery,1,G,,1982,"Hamilton, ON, CAN",,188,89,L,https://www.eliteprospects.com/player/9146/ray-emery
Atlant Mytishchi,2008-2009,Vitali Kolesnik,20,G,,1979,"Ust-Kamenogorsk, KAZ",43,191,95,L,https://www.eliteprospects.com/player/12246/vitali-kolesnik
Atlant Mytishchi,2008-2009,Dmitri Yakovlev,34,G,,1988,"Moskva, RUS",34,186,78,L,https://www.eliteprospects.com/player/19386/dmitri-yakovlev
Atlant Mytishchi,2008-2009,Mikhail Balandin,39,D,,1980,"Lipetsk, RUS",,189,98,L,https://www.eliteprospects.com/player/19388/mikhail-balandin
Atlant Mytishchi,2008-2009,Denis Bodrov,3,D,,1986,"Moskva, RUS",36,186,94,L,https://www.eliteprospects.com/player/9262/denis-bodrov
Atlant Mytishchi,2008-2009,Dmitri Bykov,55,D,,1977,"Izhevsk, RUS",46,185,94,L,https://www.eliteprospects.com/player/17971/dmitri-bykov
Atlant Mytishchi,2008-2009,Magnus Johansson,6,D,,1973,"Linköping, SWE",49,178,78,R,https://www.eliteprospects.com/player/292/magnus-johansson
Atlant Mytishchi,2008-2009,Leonid Kanareykin,23,D,,1976,"Moskva, RUS",46,175,86,L,https://www.eliteprospects.com/player/19460/leonid-kanareykin
Atlant Mytishchi,2008-2009,Vadim Khomitsky,11,D,,1982,"Voskresensk, RUS",40,186,90,L,https://www.eliteprospects.com/player/11517/vadim-khomitsky
Atlant Mytishchi,2008-2009,Andrei Mukhachyov,5,D,,1980,"Yekaterinburg, RUS",42,192,95,L,https://www.eliteprospects.com/player/19387/andrei-mukhachyov
Atlant Mytishchi,2008-2009,Maxim Semyonov,77,D,,1984,"Ust-Kamenogorsk, KAZ",39,183,83,L,https://www.eliteprospects.com/player/18024/maxim-semyonov
Atlant Mytishchi,2008-2009,Andrei Zubarev,3,D,,1987,"Ufa, RUS",36,185,100,L,https://www.eliteprospects.com/player/9257/andrei-zubarev
Atlant Mytishchi,2008-2009,Denis Arkhipov,79,C,,1979,"Kazan, RUS",44,192,105,L,https://www.eliteprospects.com/player/9595/denis-arkhipov
Atlant Mytishchi,2008-2009,Alexander R. Boikov,27,LW,,1975,"Moskva, RUS",48,182,84,R,https://www.eliteprospects.com/player/20507/alexander-r.-boikov
Atlant Mytishchi,2008-2009,Jan Bulis,38,C/LW,,1978,"Pardubice, CZE",45,183,95,L,https://www.eliteprospects.com/player/8368/jan-bulis
Atlant Mytishchi,2008-2009,Alexander Bumagin,29,LW,,1987,"Belgorod, RUS",36,182,87,L,https://www.eliteprospects.com/player/9592/alexander-bumagin
Atlant Mytishchi,2008-2009,Pavel Chernov,89,C,,1990,"Novopolotsk, BLR",33,180,85,R,https://www.eliteprospects.com/player/16748/pavel-chernov
Atlant Mytishchi,2008-2009,Yuri Dobryshkin,26,LW,,1979,"Penza, RUS",43,183,85,R,https://www.eliteprospects.com/player/18506/yuri-dobryshkin
Atlant Mytishchi,2008-2009,Yevgeni Gladskikh,41,RW,,1982,"Magnitogorsk, RUS",41,182,90,L,https://www.eliteprospects.com/player/18850/yevgeni-gladskikh
Atlant Mytishchi,2008-2009,Anton Glovatsky,13,C,,1988,"Magnitogorsk, RUS",34,178,89,L,https://www.eliteprospects.com/player/10487/anton-glovatsky
Atlant Mytishchi,2008-2009,Alexei Glukhov,57,C/LW,,1984,"Voskresensk, RUS",39,193,102,L,https://www.eliteprospects.com/player/15030/alexei-glukhov
Atlant Mytishchi,2008-2009,Dmitri Kagarlitsky,69,LW,,1989,"Cherepovets, RUS",33,177,74,R,https://www.eliteprospects.com/player/11862/dmitri-kagarlitsky
Atlant Mytishchi,2008-2009,Igor Korolyov,22,C,,1970,"Moskva, RUS",,187,90,L,https://www.eliteprospects.com/player/18257/igor-korolyov
Atlant Mytishchi,2008-2009,Alexander Korolyuk,94,RW/LW,,1976,"Korolyov, RUS",47,175,85,L,https://www.eliteprospects.com/player/10195/alexander-korolyuk
Atlant Mytishchi,2008-2009,Ilya Krikunov,18,LW,,1984,"Elektrostal, RUS",39,180,81,L,https://www.eliteprospects.com/player/9574/ilya-krikunov
Atlant Mytishchi,2008-2009,Anton Lazarev,90,RW/LW,,1990,"Chelyabinsk, RUS",33,176,81,L,https://www.eliteprospects.com/player/15179/anton-lazarev
Atlant Mytishchi,2008-2009,Albert Leshchyov,9,C,,1971,"Izhevsk, RUS",51,190,92,L,https://www.eliteprospects.com/player/16746/albert-leshchyov
Atlant Mytishchi,2008-2009,Sergei Mozyakin,10,LW,,1981,"Yaroslavl, RUS",42,180,86,R,https://www.eliteprospects.com/player/14828/sergei-mozyakin
Atlant Mytishchi,2008-2009,Alexander Nesterov,16,LW/RW,,1985,"Moskva, RUS",37,180,88,L,https://www.eliteprospects.com/player/19390/alexander-nesterov
Atlant Mytishchi,2008-2009,Esa Pirnes,12,C,,1977,"Oulu, FIN",46,184,84,L,https://www.eliteprospects.com/player/2713/esa-pirnes
Atlant Mytishchi,2008-2009,Nikolai Pronin,7,RW,,1979,"Moskva, RUS",44,173,89,L,https://www.eliteprospects.com/player/16747/nikolai-pronin
Atlant Mytishchi,2008-2009,Dmitri Vlasenkov,52,LW,,1978,"Olenegorsk, RUS",45,184,96,L,https://www.eliteprospects.com/player/19392/dmitri-vlasenkov
Atlant Mytishchi,2008-2009,Oleg Yashin,91,LW/C,,1990,"Voskresensk, RUS",32,179,82,R,https://www.eliteprospects.com/player/20506/oleg-yashin
Lokomotiv Yaroslavl,2008-2009,Sergei Gaiduchenko,1,G,,1989,"Kyiv, UKR",33,196,101,L,https://www.eliteprospects.com/player/14589/sergei-gaiduchenko
Lokomotiv Yaroslavl,2008-2009,Georgi Gelashvili,20,G,,1983,"Chelyabinsk, RUS",39,188,95,L,https://www.eliteprospects.com/player/14591/georgi-gelashvili
Lokomotiv Yaroslavl,2008-2009,Sergei Zvyagin,40,G,,1971,"Moskva, RUS",52,174,79,L,https://www.eliteprospects.com/player/14595/sergei-zvyagin
Lokomotiv Yaroslavl,2008-2009,Vitali Anikeyenko,57,D,,1987,"Kyiv, UKR",,192,90,R,https://www.eliteprospects.com/player/9587/vitali-anikeyenko
Lokomotiv Yaroslavl,2008-2009,Ilya Gorokhov,77,D,“A,1977,"Yaroslavl, RUS",45,180,91,R,https://www.eliteprospects.com/player/21041/ilya-gorokhov
Lokomotiv Yaroslavl,2008-2009,Alexander Guskov,7,D,,1976,"Nizhny Novgorod, RUS",46,188,96,L,https://www.eliteprospects.com/player/21043/alexander-guskov
Lokomotiv Yaroslavl,2008-2009,Anton Klementyev,37,D,,1990,"Togliatti, RUS",33,184,94,R,https://www.eliteprospects.com/player/17575/anton-klementyev
Lokomotiv Yaroslavl,2008-2009,Yevgeni Nurislamov,3,D,,1982,"Ufa, RUS",40,183,81,L,https://www.eliteprospects.com/player/18978/yevgeni-nurislamov
Lokomotiv Yaroslavl,2008-2009,Alexei S. Vasilyev,41,D,,1977,"Yaroslavl, RUS",45,183,94,L,https://www.eliteprospects.com/player/21042/alexei-s.-vasilyev
Lokomotiv Yaroslavl,2008-2009,Vitali Vishnevski,5,D,,1980,"Kharkov, UKR",43,187,97,L,https://www.eliteprospects.com/player/8522/vitali-vishnevski
Lokomotiv Yaroslavl,2008-2009,Sergei Zhukov,27,D,,1975,"Novosibirsk, RUS",47,192,87,L,https://www.eliteprospects.com/player/21034/sergei-zhukov
Lokomotiv Yaroslavl,2008-2009,Johan Åkerman,4,D,,1972,"Stockholm, SWE",50,181,91,R,https://www.eliteprospects.com/player/1140/johan-akerman
Lokomotiv Yaroslavl,2008-2009,Gennadi Churilov,21,C,,1987,"Magnitogorsk, RUS",,183,84,L,https://www.eliteprospects.com/player/10486/gennadi-churilov
Lokomotiv Yaroslavl,2008-2009,Alexander Galimov,11,LW,,1985,"Yaroslavl, RUS",,182,89,L,https://www.eliteprospects.com/player/21044/alexander-galimov
Lokomotiv Yaroslavl,2008-2009,Zbynek Irgl,22,RW,,1980,"Ostrava, CZE",42,182,88,R,https://www.eliteprospects.com/player/10870/zbynek-irgl
Lokomotiv Yaroslavl,2008-2009,Alexander Kalyanin,28,RW,,1987,"Chelyabinsk, RUS",,186,90,L,https://www.eliteprospects.com/player/19592/alexander-kalyanin
Lokomotiv Yaroslavl,2008-2009,Nikita Klyukin,23,C,,1989,"Rybinsk, RUS",,184,88,L,https://www.eliteprospects.com/player/11875/nikita-klyukin
Lokomotiv Yaroslavl,2008-2009,Sergei Konkov,72,LW,,1982,"Moskva, RUS",41,182,87,R,https://www.eliteprospects.com/player/21071/sergei-konkov
Lokomotiv Yaroslavl,2008-2009,Alexei Kudashov,32,C,“C,1971,"Elektrostal, RUS",51,183,86,R,https://www.eliteprospects.com/player/21072/alexei-kudashov
Lokomotiv Yaroslavl,2008-2009,Alexei Mikhnov,8,LW/RW,,1982,"Kyiv, UKR",40,197,119,L,https://www.eliteprospects.com/player/9353/alexei-mikhnov
Lokomotiv Yaroslavl,2008-2009,Marcus Nilson,70,RW,,1978,"Bålsta, SWE",45,188,89,R,https://www.eliteprospects.com/player/728/marcus-nilson
Lokomotiv Yaroslavl,2008-2009,Konstantin Rudenko,34,LW,,1981,"Ust-Kamenogorsk, KAZ",41,175,80,R,https://www.eliteprospects.com/player/21045/konstantin-rudenko
Lokomotiv Yaroslavl,2008-2009,Alexander Ryabev,14,RW,,1988,"Cherepovets, RUS",34,183,88,L,https://www.eliteprospects.com/player/21035/alexander-ryabev
Lokomotiv Yaroslavl,2008-2009,Dmitri Syomin,42,C,,1983,"Moskva, RUS",39,180,92,L,https://www.eliteprospects.com/player/15678/dmitri-syomin
Lokomotiv Yaroslavl,2008-2009,Ivan Tkachenko,17,RW,“A,1979,"Yaroslavl, RUS",,180,85,L,https://www.eliteprospects.com/player/21070/ivan-tkachenko
Lokomotiv Yaroslavl,2008-2009,Josef Vasicek,63,C,,1980,"Havlickuv Brod, CZE",,194,91,L,https://www.eliteprospects.com/player/8614/josef-vasicek
Lokomotiv Yaroslavl,2008-2009,Alexander Vasyunov,24,LW,,1988,"Yaroslavl, RUS",,183,86,R,https://www.eliteprospects.com/player/9305/alexander-vasyunov
Lokomotiv Yaroslavl,2008-2009,Alexei Yashin,19,C,,1973,"Yekaterinburg, RUS",49,192,103,R,https://www.eliteprospects.com/player/8695/alexei-yashin
CSKA Moskva,2008-2009,Ivan Ageyev,45,G,,1990,,33,178,73,L,https://www.eliteprospects.com/player/194673/ivan-ageyev
CSKA Moskva,2008-2009,Konstantin Barulin,84,G,,1984,"Karaganda, KAZ",38,186,93,L,https://www.eliteprospects.com/player/9582/konstantin-barulin
CSKA Moskva,2008-2009,Nikita Bespalov,1,G,,1987,"Moskva, RUS",35,186,83,L,https://www.eliteprospects.com/player/10630/nikita-bespalov
CSKA Moskva,2008-2009,Jussi Markkanen,30,G,,1975,"Imatra, FIN",48,184,84,L,https://www.eliteprospects.com/player/2677/jussi-markkanen
CSKA Moskva,2008-2009,Yevgeni Busygin,74,D,,1987,"Moskva, RUS",35,186,102,L,https://www.eliteprospects.com/player/20519/yevgeni-busygin
CSKA Moskva,2008-2009,Maxim Goncharov,57,D,,1989,"Moskva, RUS",33,191,102,R,https://www.eliteprospects.com/player/11861/maxim-goncharov
CSKA Moskva,2008-2009,Maxim Kondratyev,63,D,,1983,"Togliatti, RUS",40,185,90,L,https://www.eliteprospects.com/player/9384/maxim-kondratyev
CSKA Moskva,2008-2009,Konstantin Korneyev,22,D,,1984,"Moskva, RUS",39,180,89,L,https://www.eliteprospects.com/player/9576/konstantin-korneyev
CSKA Moskva,2008-2009,Roman Kukhtinov,77,D,,1975,"Belgorod, RUS",47,185,94,R,https://www.eliteprospects.com/player/17968/roman-kukhtinov
CSKA Moskva,2008-2009,Denis Kulyash,28,D,,1983,"Omsk, RUS",40,191,113,L,https://www.eliteprospects.com/player/12300/denis-kulyash
CSKA Moskva,2008-2009,Georgi Misharin,15,D,,1985,"Yekaterinburg, RUS",38,185,97,L,https://www.eliteprospects.com/player/9585/georgi-misharin
CSKA Moskva,2008-2009,Sergei Rozin,48,D,,1977,"St. Petersburg, RUS",45,182,85,R,https://www.eliteprospects.com/player/20525/sergei-rozin
CSKA Moskva,2008-2009,Artyom Ternavsky,83,D,,1983,"Magnitogorsk, RUS",40,190,99,L,https://www.eliteprospects.com/player/18716/artyom-ternavsky
CSKA Moskva,2008-2009,Anton But,10,LW,,1980,"Kharkov, UKR",42,188,97,R,https://www.eliteprospects.com/player/9599/anton-but
CSKA Moskva,2008-2009,Mika Hannula,51,RW,,1979,"Huddinge, SWE",44,180,86,R,https://www.eliteprospects.com/player/204/mika-hannula
CSKA Moskva,2008-2009,Jonathan Hedström,7,LW,,1977,"Boliden, SWE",45,183,89,L,https://www.eliteprospects.com/player/183/jonathan-hedstrom
CSKA Moskva,2008-2009,Ivan Khomutov,14,C,,1985,"Saratov, RUS",38,188,90,L,https://www.eliteprospects.com/player/11352/ivan-khomutov
CSKA Moskva,2008-2009,Vyacheslav Kulyomin,95,RW,,1990,"Kudinovo, RUS",32,186,91,L,https://www.eliteprospects.com/player/17617/vyacheslav-kulyomin
CSKA Moskva,2008-2009,Dmitri Monya,42,RW,,1988,"Moskva, RUS",34,181,90,L,https://www.eliteprospects.com/player/20522/dmitri-monya
CSKA Moskva,2008-2009,Maxim Noskov,61,C,,1990,"Perm, RUS",33,175,82,L,https://www.eliteprospects.com/player/30718/maxim-noskov
CSKA Moskva,2008-2009,Denis Parshin,27,RW,,1986,"Rybinsk, RUS",37,177,75,L,https://www.eliteprospects.com/player/9588/denis-parshin
CSKA Moskva,2008-2009,Oleg Saprykin,91,LW,,1981,"Moskva, RUS",42,187,94,L,https://www.eliteprospects.com/player/8589/oleg-saprykin
CSKA Moskva,2008-2009,Pyotr Schastlivy,24,C,,1979,"Vikhorevka, RUS",44,184,95,L,https://www.eliteprospects.com/player/12245/pyotr-schastlivy
CSKA Moskva,2008-2009,Sergei Shirokov,52,LW,,1986,"Ozery, RUS",37,179,92,R,https://www.eliteprospects.com/player/9264/sergei-shirokov
CSKA Moskva,2008-2009,Alexei Simakov,79,RW,,1979,"Yekaterinburg, RUS",44,167,79,L,https://www.eliteprospects.com/player/16738/alexei-simakov
CSKA Moskva,2008-2009,Alexander Skugarev,75,C,,1975,"Angarsk, RUS",48,190,92,L,https://www.eliteprospects.com/player/16740/alexander-skugarev
CSKA Moskva,2008-2009,Kirill Starkov,19,C/W,,1987,"Yekaterinburg, RUS",36,184,95,L,https://www.eliteprospects.com/player/2627/kirill-starkov
CSKA Moskva,2008-2009,Alexander Suglobov,9,RW,,1982,"Elektrostal, RUS",41,185,86,L,https://www.eliteprospects.com/player/9602/alexander-suglobov
CSKA Moskva,2008-2009,Alexei Tertyshny,36,RW,,1977,"Chelyabinsk, RUS",46,180,80,L,https://www.eliteprospects.com/player/16736/alexei-tertyshny
CSKA Moskva,2008-2009,Mikael Wahlberg,23,C,,1976,"Uppsala, SWE",46,182,90,R,https://www.eliteprospects.com/player/215/mikael-wahlberg
CSKA Moskva,2008-2009,Vadim Yepanchintsev,8,C,,1976,"Orsk, RUS",47,180,92,L,https://www.eliteprospects.com/player/16739/vadim-yepanchintsev
CSKA Moskva,2008-2009,Stanislav Zhmakin,44,LW,,1982,"Penza, RUS",40,195,87,R,https://www.eliteprospects.com/player/18725/stanislav-zhmakin
Metallurg Magnitogorsk,2008-2009,Andrei Mezin,31,G,,1974,"Chelyabinsk, RUS",48,182,78,L,https://www.eliteprospects.com/player/12004/andrei-mezin
